이름,YBIGTA 월별 타임라인,구글드라이브,생성일,태그
외부 운영,"외부 협력(선택) (https://www.notion.so/1b8ccd944abc8140b013da7819c718a5?pvs=21), 산학협력 (https://www.notion.so/1b8ccd944abc81dda462ef452fd597c9?pvs=21)",https://drive.google.com/drive/folders/1zXEnrPd1L3PPLKHMDz7S-hqSovX4r4iq?usp=share_link,2025년 3월 17일 오전 2:52,외부 운영
지도교수님 미팅,지도교수님(이원석 교수님) 미팅 (https://www.notion.so/1b8ccd944abc81b180c5fe5b04df592f?pvs=21),,2025년 3월 17일 오전 2:52,당선부터 리크루팅까지
리크루팅,리크루팅 (https://www.notion.so/1b8ccd944abc81568ba8c867147354a4?pvs=21),,2025년 3월 17일 오전 2:52,당선부터 리크루팅까지
운영진 회의 / 회장단 회의,"운영진 전체 회의 (https://www.notion.so/1b8ccd944abc81e1afb4ce11366ac34c?pvs=21), 회장단 회의 (https://www.notion.so/1b8ccd944abc818aa02cc15425934845?pvs=21)",,2025년 3월 17일 오전 2:52,당선부터 리크루팅까지
연장기수 조사 및 단톡방 개설,"소통창구(단톡방 또는 디스코드) 개설 (https://www.notion.so/1b8ccd944abc8144b181dada0959eff5?pvs=21), 연장기수 조사 및 단톡방 개설 (https://www.notion.so/1b8ccd944abc817c9c81f1b8993fc629?pvs=21)",https://drive.google.com/drive/folders/1rJlAe0o43oEau-eWJGJXOZ3A4cRY28Ib?usp=share_link,2025년 3월 17일 오전 2:52,당선부터 리크루팅까지
YBIGTA 운영진의 역할,운영진 구성 및 첫 회의 (https://www.notion.so/1b8ccd944abc81fc8eaec4c1408192fa?pvs=21),,2025년 3월 17일 오전 2:52,당선부터 리크루팅까지
신입기수 교육세션 & 스터디,"신입기수 교육세션 준비 (https://www.notion.so/1b8ccd944abc816d8448cbb943421204?pvs=21), 신입기수 교육세션 (https://www.notion.so/1b8ccd944abc81e48451d854ffafa721?pvs=21), 신입기수 스터디 (https://www.notion.so/1b8ccd944abc81d5959ad12619f25890?pvs=21)",https://drive.google.com/drive/folders/13ljoE25VXlfUqDYXFs_HF_gIX-fMeJbD?usp=share_link,2025년 3월 17일 오전 2:52,신입기수 & 방학
" 운영진 MT",운영진 MT (https://www.notion.so/MT-1b8ccd944abc814998a6f67cd17a7540?pvs=21),,2025년 3월 17일 오전 2:52,신입기수 & 방학
졸업자 조사 및 현수막 게시,졸업자 조사 및 현수막 게시 (https://www.notion.so/1b8ccd944abc81f198e1d223330e787c?pvs=21),https://drive.google.com/drive/folders/1rJlAe0o43oEau-eWJGJXOZ3A4cRY28Ib?usp=share_link,2025년 3월 17일 오전 2:52,신입기수 & 방학
신입기수 팀 배정,신입기수 팀 배정 (https://www.notion.so/1b8ccd944abc811f93d4cdd9bc124b6d?pvs=21),https://docs.google.com/forms/d/1rEFSbP14BPUbM9sswNzDNMmgygk8NJWBpQCta45Q_gA/edit,2025년 3월 17일 오전 2:52,신입기수 & 방학
